,Algorithm,Win.,Dim.,N. s.,WordSim,BATS Male-Female,BATS hypernym - misc,BATS total,MSR
0,SVD,2,50,-,7.384088022317557,0.06,0.0,0.02,0.6527536231884058
1,SVD,2,100,-,5.7915105943747385,0.21,0.08,0.04,0.6446376811594203
2,SVD,2,300,-,11.904982001686141,0.15,0.0,0.03,0.6463768115942029
3,SVD,5,50,-,17.285478979984344,0.06,0.05,0.03,0.6620289855072464
4,SVD,5,100,-,15.730036288691565,0.12,0.08,0.03,0.6631884057971015
5,SVD,5,300,-,15.339865756392715,0.21,0.03,0.03,0.6521739130434783
6,SVD,10,50,-,21.06182589982075,0.09,0.08,0.03,0.664927536231884
7,SVD,10,100,-,20.127318344208902,0.21,0.0,0.03,0.6660869565217391
8,SVD,10,300,-,16.399343608645385,0.18,0.03,0.03,0.662608695652174
